,Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,cluster_label
0,RG6 4AA,Yes,51.421335,-0.937741,473959,169682,SU739696,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-07-01,,Earley,,27.0,11.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,64,,E01016655,,E02003450,Shinfield,E04001230,E00084054,E14001048,32800,1,0,2021-11-12,Earley,2.5877,RG,RG6,Thames Valley,Thames Water,9C3XC3C6+GW,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
1,RG6 4AB,Yes,51.421914,-0.936189,474066,169748,SU740697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-07-01,,Earley,,37.0,19.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,64,,E01016654,,E02003450,Shinfield,E04001230,E00084050,E14001048,32673,1,0,2021-11-12,Earley,2.47689,RG,RG6,Thames Valley,Thames Water,9C3XC3C7+QG,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
2,RG6 4AD,Yes,51.421652,-0.937964,473943,169717,SU739697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-07-01,,Earley,,74.0,35.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,66,,E01016654,,E02003450,Shinfield,E04001230,E00084053,E14001048,32673,1,0,2021-11-12,Earley,2.56616,RG,RG6,Thames Valley,Thames Water,9C3XC3C6+MR,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
3,RG6 4AE,Yes,51.420934,-0.935162,474139,169640,SU741696,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-01-01,,Earley,,99.0,44.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,57,,E01016654,,E02003450,Shinfield,E04001230,E00084053,E14001048,32673,1,0,2021-11-12,Earley,2.53709,RG,RG6,Thames Valley,Thames Water,9C3XC3C7+9W,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
4,RG6 4AF,Yes,51.421492,-0.935249,474132,169702,SU741697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-01-01,,Earley,,36.0,19.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,59,,E01016654,,E02003450,Shinfield,E04001230,E00084053,E14001048,32673,1,0,2021-11-12,Earley,2.48539,RG,RG6,Thames Valley,Thames Water,9C3XC3C7+HW,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
5,RG6 4AG,Yes,51.420415,-0.935418,474122,169582,SU741695,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-01-01,,Earley,,32.0,14.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,56,,E01016654,,E02003450,Shinfield,E04001230,E00084053,E14001048,32673,1,0,2021-11-12,Earley,2.59637,RG,RG6,Thames Valley,Thames Water,9C3XC3C7+5R,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
6,RG6 4AH,Yes,51.42042,-0.937058,474008,169581,SU740695,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-03-01,,Earley,,74.0,27.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,60,,E01016655,,E02003450,Shinfield,E04001230,E00084054,E14001048,32800,1,0,2021-11-12,Earley,2.65064,RG,RG6,Thames Valley,Thames Water,9C3XC3C7+55,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
7,RG6 4AJ,Yes,51.420075,-0.938633,473899,169541,SU738695,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-03-01,,Earley,,112.0,60.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,59,,E01016655,,E02003450,Shinfield,E04001230,E00084054,E14001048,32800,1,0,2021-11-12,Earley,2.7393,RG,RG6,Thames Valley,Thames Water,9C3XC3C6+2G,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
8,RG6 4AL,Yes,51.420871,-0.939204,473858,169629,SU738696,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-03-01,,Earley,,35.0,14.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,64,,E01016655,,E02003450,Shinfield,E04001230,E00084051,E14001048,32800,1,0,2021-11-12,Earley,2.6857,RG,RG6,Thames Valley,Thames Water,9C3XC3C6+88,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
9,RG6 4AN,Yes,51.420666,-0.938346,473918,169607,SU739696,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1983-03-01,,Earley,,43.0,14.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,61,,E01016655,,E02003450,Shinfield,E04001230,E00084054,E14001048,32800,1,0,2021-11-12,Earley,2.67296,RG,RG6,Thames Valley,Thames Water,9C3XC3C6+7M,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
